학년도,학기,주요일정,일자,대체공휴일,공휴일
2023,1학기,개강일,2023-03-02,,
2023,1학기,중간시험,2023-04-20 ~ 2023-04-26,,
2023,1학기,지정보강일,2023-06-08,,
2023,1학기,지정보강일,2023-06-09,,
2023,1학기,지정보강일,2023-06-12,,
2023,1학기,지정보강일,2023-06-13,,
2023,1학기,기말시험,2023-06-14 ~ 2023-06-20,,
2023,1학기,하계방학시작일,2023-06-21,,
2023,2학기,개강일,2023-09-01,,
2023,2학기,중간시험,2023-10-26 ~ 2023-11-01,,
2023,2학기,지정보강일,2023-12-08,,
2023,2학기,지정보강일,2023-12-11,,
2023,2학기,지정보강일,2023-12-12,,
2023,2학기,지정보강일,2023-12-13,,
2023,2학기,기말시험,2023-12-14 ~ 2023-12-20,,
2023,2학기,동계방학시작일,2023-12-21,,
